Date,ID,duration,finished,age,state,QID4,QID5,QID6_TEXT,QID7,QID8a,QID8b,QID8c,QID9_1,QID9_2,QID9_3,QID75,QID10,QID81,QID76&77,QID55_TEXT,QID52&45,QID51&46_TEXT,QID80&73,QID40,QID41,QID41_1_TEXT,QID56,QID56_1_TEXT,QID43_TEXT,QID79g,QID79f,QID79e,QID79d,QID79c,QID79b,QID79a,QID47,QID13_1,QID13_2,QID13_3,QID13_4,QID13_5,QID13_6,QID13_7,QID13_8,QID13_9,QID13_10,QID13_11,QID13_12,QID13_13,QID14,QID17,QID16_1,QID16_2,QID16_3,QID16_4,QID16_5,QID16_6,QID16_7,QID16_8,QID18,QID20,QID22_1,QID22_2,QID22_3,QID22_4,QID22_5,QID22_6,QID22_7,QID22_8,QID22_9,QID22_10,QID29alt,QID29,QID30c,QID30b,QID30a,QID31,QID32_TEXT,QID88,QID35,QID36,QID37,QID38
10/7/16,955,957,1,25,23,2,2,5,1,14.0,,,1,5,5,5,4,4.0,3.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,12.0,,,,,,,6.0,4,1,1.0,3.0,2.0,5.0,4.0,3.0,3.0,3.0,1,1.0,1.0,5.0,3,3.0,5.0,5,5.0,5.0,1.0,1,1.0,5.0,2,2.0,4.0,2.0,5.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,2,2,,,1.0,2,2.0,4,1,7,2.0,1.0
10/7/16,956,348,1,52,14,3,2,4,5,1.0,4.0,5.0,4,2,3,5,5,4.0,4.0,,1.0,,3.0,1.0,1.0,4.0,1.0,2.0,8.99,,,,,,,6.0,3,3,4.0,4.0,3.0,3.0,4.0,5.0,3.0,2.0,1,2.0,2.0,4.0,4,3.0,5.0,5,5.0,4.0,2.0,2,1.0,4.0,2,2.0,4.0,6.0,6.0,6.0,2.0,2.0,4.0,3.0,6.0,2.0,1,1,,,1.0,1,4.0,2,1,5,4.0,3.0
10/7/16,957,718,1,33,3,2,2,4,3,13.0,4.0,5.0,2,2,4,2,3,4.0,3.0,,2.0,9.0,3.0,1.0,1.0,7.0,1.0,4.0,8.0,,,,,,,4.0,2,2,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1.0,1.0,2.0,5,1.0,2.0,2,2.0,1.0,1.0,1,2.0,2.0,2,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1,1,,,3.0,1,4.0,3,2,5,3.0,2.0
10/7/16,958,238,1,28,34,2,2,5,1,1.0,13.0,7.0,3,3,4,5,2,4.0,3.0,9.0,1.0,,2.0,,,,,,,,,,,6.0,4.0,5.0,2,4,2.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,4,4.0,4.0,2.0,4,4.0,5.0,5,5.0,5.0,2.0,2,2.0,2.0,2,1.0,6.0,6.0,6.0,6.0,2.0,2.0,1.0,1.0,6.0,2.0,1,1,,,1.0,1,2.0,7,3,6,6.0,2.0
10/7/16,959,831,1,28,22,1,1,20,3,1.0,,,2,3,3,4,3,4.0,3.0,,2.0,8.0,2.0,1.0,1.0,6.0,1.0,4.0,6.0,,,,,,,5.0,2,2,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3,4.0,3.0,4.0,4,2.0,4.0,4,2.0,2.0,2.0,2,3.0,2.0,2,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1,1,,,2.0,2,3.0,2,6,3,6.0,1.0
10/7/16,960,411,1,36,20,2,2,8,1,1.0,,,3,3,3,4,3,4.0,3.0,7.0,2.0,10.0,2.0,,,,,,,,,,,,,1.0,2,1,3.0,3.0,2.0,5.0,2.0,5.0,2.0,2.0,2,2.0,2.0,4.0,3,3.0,5.0,2,3.0,3.0,4.0,3,4.0,3.0,2,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,2,2,,,1.0,1,5.0,1,2,3,3.0,1.0
10/7/16,961,289,1,26,6,2,2,1,1,1.0,3.0,,3,2,4,5,1,4.0,3.0,,1.0,,2.0,1.0,1.0,2.0,1.0,6.0,8.0,,,,,,,6.0,2,3,3.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,2,1.0,1.0,5.0,5,3.0,1.0,1,4.0,3.0,1.0,2,1.0,3.0,2,2.0,3.0,7.0,4.0,7.0,2.0,2.0,1.0,2.0,4.0,2.0,1,1,,,1.0,1,2.0,2,2,5,6.0,3.0
10/7/16,962,1092,1,32,44,1,2,11,1,1.0,2.0,,3,3,3,5,3,4.0,3.0,,2.0,1.0,3.0,2.0,2.0,,2.0,,7.99,,,,6.0,2.0,3.0,5.0,2,1,5.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,4,3.0,3.0,4.0,5,3.0,3.0,3,3.0,3.0,1.0,3,3.0,4.0,1,1.0,1.0,5.0,5.0,4.0,2.0,2.0,5.0,3.0,3.0,3.0,2,2,,,1.0,6,2.0,3,4,2,2.0,3.0
10/7/16,963,314,1,28,39,1,1,6,1,13.0,2.0,9.0,3,2,3,5,2,6.0,3.0,,2.0,2.99,3.0,1.0,2.0,,1.0,3.0,9.99,,,,,1.0,4.0,5.0,2,2,3.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,3,3.0,3.0,4.0,3,2.0,5.0,2,3.0,3.0,2.0,2,2.0,2.0,2,4.0,4.0,4.0,3.0,6.0,4.0,4.0,4.0,3.0,3.0,2.0,2,2,,,1.0,1,2.0,2,3,5,6.0,1.0
10/7/16,964,707,1,31,18,1,2,10,1,12.0,13.0,7.0,2,5,2,2,3,3.0,6.0,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,8.0,,,,1.0,2.0,3.0,4.0,1,1,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1,3.0,3.0,3.0,5,1.0,1.0,2,2.0,2.0,1.0,1,1.0,1.0,1,1.0,4.0,7.0,6.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,1,1,,,1.0,1,4.0,6,2,5,5.0,1.0
